r_multiple,max_opening_range,min_gap,breakout_start,breakout_end,trades,final_equity,total_return,win_rate,avg_trade,max_drawdown,profit_factor
0.5,0.02,0.0025,09:35,10:00,70,10031.704485570923,0.0031704485570922536,0.7285714285714285,0.00045426753856229346,-0.006520530302636329,1.1870124836559774
1.5,0.01,0.0,09:35,10:00,54,10030.911061391726,0.003091106139172517,0.5370370370370371,0.0005741880661721626,-0.006594143417183118,1.1948388632549691
1.5,0.02,0.0025,09:35,10:00,70,10029.789579948178,0.0029789579948178435,0.4857142857142857,0.0004295821973066549,-0.008737612415023022,1.1128673052823899
0.5,0.01,0.01,09:35,11:00,33,10029.719974149497,0.0029719974149498007,0.7878787878787878,0.0009004919624605607,-0.0021258174462596147,1.5268619251458486
1.5,0.02,0.005,09:35,11:00,77,10029.300096771982,0.002930009677198253,0.5064935064935064,0.00038419612028205895,-0.007421243401561584,1.10384232501127
2.0,0.03,0.005,09:35,11:00,78,10029.14204785095,0.002914204785094965,0.5128205128205128,0.0003772938711388342,-0.008188166476576164,1.1033602491352636
1.5,0.015,0.0,09:35,10:30,87,10027.530430383844,0.0027530430383844173,0.5172413793103449,0.0003195024509496725,-0.011357363540976939,1.0930455848718452
2.0,0.01,0.01,09:35,11:00,33,10027.370164585274,0.0027370164585274193,0.6060606060606061,0.0008312425371723433,-0.004316129635599797,1.2927349504046117
2.0,0.02,0.0025,09:35,10:00,70,10027.348799632315,0.002734879963231407,0.4857142857142857,0.00039496946116807417,-0.009849275423312043,1.103661965729932
2.0,0.02,0.005,09:35,11:00,77,10026.67866318527,0.0026678663185271123,0.5064935064935064,0.0003502869062027418,-0.008188166476576164,1.0946237167773694
0.5,0.02,0.005,09:35,11:00,77,10026.575529460204,0.002657552946020436,0.7272727272727273,0.0003466432292543709,-0.005308518621355063,1.1434788709736983
0.5,0.01,0.01,09:35,10:30,32,10026.261708900103,0.002626170890010382,0.78125,0.0008208446162165442,-0.0021258174462596147,1.4655816031245092
1.5,0.015,0.0025,09:35,11:00,81,10026.245178395158,0.002624517839515894,0.5061728395061729,0.0003269216206429814,-0.007153480622016706,1.0987588641778798
